NA	NA-NA	NA
happens_02	1-WORD&SENSE	12
happens_03	1-WORD&SENSE	7
happens_04	1-WORD&SENSE	7
happen_02	1-WORD&SENSE	18
happen_03	1-WORD&SENSE	19
happen_04	1-WORD&SENSE	30
happy_01	1-WORD&SENSE	11
happy_02	1-WORD&SENSE	15
happy_04	1-WORD&SENSE	13
harassed_02	1-WORD&SENSE	3
harder_01	1-WORD&SENSE	4
harder_11	1-WORD&SENSE	3
hardly_01	1-WORD&SENSE	3
hard_01	1-WORD&SENSE	81
hard_02	1-WORD&SENSE	3
hard_03	1-WORD&SENSE	7
hard_07	1-WORD&SENSE	6
hard_08	1-WORD&SENSE	5
hard_10	1-WORD&SENSE	6
hard_11	1-WORD&SENSE	9
hard_12	1-WORD&SENSE	3
harm_01	1-WORD&SENSE	27
harm_03	1-WORD&SENSE	3
hated_02	1-WORD&SENSE	3
hats_02	1-WORD&SENSE	3
heads_01	1-WORD&SENSE	5
head_01	1-WORD&SENSE	14
healthy_01	1-WORD&SENSE	5
health_02	1-WORD&SENSE	58
heard_01	1-WORD&SENSE	4
heard_02	1-WORD&SENSE	48
heard_04	1-WORD&SENSE	4
hearing_01	1-WORD&SENSE	4
hearing_02	1-WORD&SENSE	23
heart_01	1-WORD&SENSE	28
heart_03	1-WORD&SENSE	12
heart_10	1-WORD&SENSE	6
hear_02	1-WORD&SENSE	97
hear_04	1-WORD&SENSE	8
heated_04	1-WORD&SENSE	3
heat_01	1-WORD&SENSE	5
heavy_23	1-WORD&SENSE	3
held_01	1-WORD&SENSE	4
held_03	1-WORD&SENSE	4
held_04	1-WORD&SENSE	4
hell_02	1-WORD&SENSE	4
hell_04	1-WORD&SENSE	3
hell_06	1-WORD&SENSE	5
helped_01	1-WORD&SENSE	6
helped_05	1-WORD&SENSE	3
helping_01	1-WORD&SENSE	15
helping_06	1-WORD&SENSE	3
helpless_02	1-WORD&SENSE	4
helpless_03	1-WORD&SENSE	4
helps_01	1-WORD&SENSE	7
help_01	1-WORD&SENSE	104
help_02	1-WORD&SENSE	31
help_03	1-WORD&SENSE	8
help_05	1-WORD&SENSE	31
help_06	1-WORD&SENSE	7
help_08	1-WORD&SENSE	3
hiding_02	1-WORD&SENSE	4
higher_01	1-WORD&SENSE	6
higher_07	1-WORD&SENSE	3
highest_01	1-WORD&SENSE	5
highly_01	1-WORD&SENSE	4
highly_03	1-WORD&SENSE	4
high_01	1-WORD&SENSE	15
high_02	1-WORD&SENSE	10
high_05	1-WORD&SENSE	4
high_07	1-WORD&SENSE	12
history_02	1-WORD&SENSE	4
history_05	1-WORD&SENSE	6
hitting_01	1-WORD&SENSE	3
hit_01	1-WORD&SENSE	10
hit_02	1-WORD&SENSE	6
hollywood_02	1-WORD&SENSE	5
homes_01	1-WORD&SENSE	18
homes_09	1-WORD&SENSE	3
home_01	1-WORD&SENSE	32
home_03	1-WORD&SENSE	4
home_07	1-WORD&SENSE	8
home_09	1-WORD&SENSE	5
honestly_01	1-WORD&SENSE	7
honestly_02	1-WORD&SENSE	10
hopefully_01	1-WORD&SENSE	9
hopefully_02	1-WORD&SENSE	24
hopeless_04	1-WORD&SENSE	5
hope_01	1-WORD&SENSE	5
hope_02	1-WORD&SENSE	58
hope_03	1-WORD&SENSE	108
hope_04	1-WORD&SENSE	3
hope_06	1-WORD&SENSE	4
hoping_02	1-WORD&SENSE	3
hoping_06	1-WORD&SENSE	5
horrific_01	1-WORD&SENSE	6
horrific_02	1-WORD&SENSE	5
horror_01	1-WORD&SENSE	3
horses_02	1-WORD&SENSE	3
hospitals_02	1-WORD&SENSE	4
hours_02	1-WORD&SENSE	4
hours_04	1-WORD&SENSE	10
hour_04	1-WORD&SENSE	7
house_01	1-WORD&SENSE	21
house_07	1-WORD&SENSE	7
however_01	1-WORD&SENSE	26
however_02	1-WORD&SENSE	5
however_04	1-WORD&SENSE	10
human_01	1-WORD&SENSE	7
human_02	1-WORD&SENSE	13
human_03	1-WORD&SENSE	58
humble_01	1-WORD&SENSE	3
hunger_02	1-WORD&SENSE	3
hunt_01	1-WORD&SENSE	5
hurting_02	1-WORD&SENSE	5
hurting_06	1-WORD&SENSE	5
hurt_02	1-WORD&SENSE	18
hurt_04	1-WORD&SENSE	5
hurt_05	1-WORD&SENSE	3
hurt_06	1-WORD&SENSE	23
ice_01	1-WORD&SENSE	4
ideas_01	1-WORD&SENSE	5
idea_01	1-WORD&SENSE	23
idea_03	1-WORD&SENSE	26
idea_06	1-WORD&SENSE	7
ignorant_01	1-WORD&SENSE	3
ignorant_03	1-WORD&SENSE	3
ill_01	1-WORD&SENSE	4
ill_03	1-WORD&SENSE	3
ill_05	1-WORD&SENSE	8
imagine_01	1-WORD&SENSE	15
imagine_02	1-WORD&SENSE	118
immediately_03	1-WORD&SENSE	5
immediate_05	1-WORD&SENSE	3
immigration_02	1-WORD&SENSE	10
immoral_01	1-WORD&SENSE	4
impact_01	1-WORD&SENSE	8
impact_02	1-WORD&SENSE	15
importance_02	1-WORD&SENSE	5
important_01	1-WORD&SENSE	44
important_05	1-WORD&SENSE	16
impossible_03	1-WORD&SENSE	8
improve_02	1-WORD&SENSE	5
improve_03	1-WORD&SENSE	4
incidents_01	1-WORD&SENSE	5
incidents_02	1-WORD&SENSE	6
incident_01	1-WORD&SENSE	4
incident_02	1-WORD&SENSE	22
including_02	1-WORD&SENSE	6
including_03	1-WORD&SENSE	12
increased_02	1-WORD&SENSE	6
increase_02	1-WORD&SENSE	3
increase_03	1-WORD&SENSE	5
increasing_02	1-WORD&SENSE	4
individual_01	1-WORD&SENSE	13
individual_04	1-WORD&SENSE	4
industries_02	1-WORD&SENSE	3
industry_01	1-WORD&SENSE	4
industry_02	1-WORD&SENSE	10
infected_04	1-WORD&SENSE	4
influenced_01	1-WORD&SENSE	4
influence_01	1-WORD&SENSE	4
influence_04	1-WORD&SENSE	3
influence_05	1-WORD&SENSE	3
information_01	1-WORD&SENSE	9
information_02	1-WORD&SENSE	5
informative_01	1-WORD&SENSE	4
injured_01	1-WORD&SENSE	31
injured_05	1-WORD&SENSE	3
injuries_01	1-WORD&SENSE	3
injuries_02	1-WORD&SENSE	11
injuries_04	1-WORD&SENSE	4
injury_02	1-WORD&SENSE	3
innocent_01	1-WORD&SENSE	10
innocent_04	1-WORD&SENSE	7
innocent_05	1-WORD&SENSE	8
innocent_07	1-WORD&SENSE	19
inside_01	1-WORD&SENSE	13
intelligence_01	1-WORD&SENSE	4
intelligent_04	1-WORD&SENSE	3
intended_01	1-WORD&SENSE	3
intense_01	1-WORD&SENSE	3
intense_03	1-WORD&SENSE	5
interesting_01	1-WORD&SENSE	48
interesting_03	1-WORD&SENSE	6
interesting_05	1-WORD&SENSE	6
interest_01	1-WORD&SENSE	12
international_01	1-WORD&SENSE	9
international_03	1-WORD&SENSE	6
invading_04	1-WORD&SENSE	4
investigation_01	1-WORD&SENSE	9
involved_02	1-WORD&SENSE	8
involved_05	1-WORD&SENSE	8
involved_06	1-WORD&SENSE	4
involved_07	1-WORD&SENSE	9
involvement_02	1-WORD&SENSE	4
involving_01	1-WORD&SENSE	8
involving_07	1-WORD&SENSE	3
isolated_05	1-WORD&SENSE	4
issues_01	1-WORD&SENSE	23
issues_02	1-WORD&SENSE	35
issues_04	1-WORD&SENSE	4
issues_05	1-WORD&SENSE	3
issues_06	1-WORD&SENSE	9
issue_01	1-WORD&SENSE	23
issue_02	1-WORD&SENSE	37
issue_04	1-WORD&SENSE	5
issue_06	1-WORD&SENSE	3
jobs_01	1-WORD&SENSE	5
jobs_02	1-WORD&SENSE	8
job_01	1-WORD&SENSE	19
job_02	1-WORD&SENSE	15
join_04	1-WORD&SENSE	3
joke_01	1-WORD&SENSE	5
justice_01	1-WORD&SENSE	4
justice_02	1-WORD&SENSE	25
justified_05	1-WORD&SENSE	3
keeping_02	1-WORD&SENSE	7
keeping_04	1-WORD&SENSE	3
keeps_02	1-WORD&SENSE	4
keep_01	1-WORD&SENSE	4
keep_02	1-WORD&SENSE	39
keep_04	1-WORD&SENSE	20
kept_02	1-WORD&SENSE	4
kept_04	1-WORD&SENSE	3
kids_01	1-WORD&SENSE	32
kids_02	1-WORD&SENSE	49
kid_01	1-WORD&SENSE	13
kid_02	1-WORD&SENSE	8
killed_01	1-WORD&SENSE	65
killed_02	1-WORD&SENSE	17
killed_05	1-WORD&SENSE	4
killed_07	1-WORD&SENSE	9
killed_09	1-WORD&SENSE	9
killing_01	1-WORD&SENSE	28
killing_02	1-WORD&SENSE	15
killing_07	1-WORD&SENSE	6
kills_01	1-WORD&SENSE	3
kill_01	1-WORD&SENSE	36
kill_02	1-WORD&SENSE	7
kill_07	1-WORD&SENSE	9
kill_09	1-WORD&SENSE	4
knew_01	1-WORD&SENSE	12
knew_04	1-WORD&SENSE	3
knew_05	1-WORD&SENSE	8
knew_11	1-WORD&SENSE	6
knowing_01	1-WORD&SENSE	12
knowing_05	1-WORD&SENSE	5
knowing_10	1-WORD&SENSE	4
known_01	1-WORD&SENSE	11
known_04	1-WORD&SENSE	3
known_05	1-WORD&SENSE	5
known_11	1-WORD&SENSE	3
knows_01	1-WORD&SENSE	8
knows_10	1-WORD&SENSE	3
know_01	1-WORD&SENSE	133
know_03	1-WORD&SENSE	14
know_04	1-WORD&SENSE	13
know_05	1-WORD&SENSE	95
know_07	1-WORD&SENSE	13
know_09	1-WORD&SENSE	4
know_10	1-WORD&SENSE	36
know_11	1-WORD&SENSE	37
lack_01	1-WORD&SENSE	18
lady_03	1-WORD&SENSE	12
land_02	1-WORD&SENSE	9
land_04	1-WORD&SENSE	18
language_01	1-WORD&SENSE	7
largely_02	1-WORD&SENSE	3
larger_01	1-WORD&SENSE	5
largest_01	1-WORD&SENSE	4
largest_06	1-WORD&SENSE	3
large_01	1-WORD&SENSE	12
large_06	1-WORD&SENSE	5
last_01	1-WORD&SENSE	8
last_02	1-WORD&SENSE	12
last_04	1-WORD&SENSE	5
last_05	1-WORD&SENSE	8
last_07	1-WORD&SENSE	4
last_09	1-WORD&SENSE	4
late_01	1-WORD&SENSE	3
late_04	1-WORD&SENSE	3
late_06	1-WORD&SENSE	8
laugh_01	1-WORD&SENSE	4
laugh_02	1-WORD&SENSE	3
laws_01	1-WORD&SENSE	20
laws_03	1-WORD&SENSE	4
law_01	1-WORD&SENSE	24
law_02	1-WORD&SENSE	4
leaders_01	1-WORD&SENSE	10
leader_01	1-WORD&SENSE	9
leads_03	1-WORD&SENSE	4
lead_03	1-WORD&SENSE	13
lead_23	1-WORD&SENSE	4
learned_01	1-WORD&SENSE	9
learned_02	1-WORD&SENSE	6
learned_04	1-WORD&SENSE	8
learned_08	1-WORD&SENSE	6
learning_02	1-WORD&SENSE	4
learning_04	1-WORD&SENSE	3
learn_01	1-WORD&SENSE	7
learn_02	1-WORD&SENSE	9
learn_04	1-WORD&SENSE	4
learn_08	1-WORD&SENSE	7
leave_01	1-WORD&SENSE	4
leave_02	1-WORD&SENSE	11
leave_03	1-WORD&SENSE	5
leave_06	1-WORD&SENSE	6
leave_08	1-WORD&SENSE	8
leave_12	1-WORD&SENSE	9
leaving_04	1-WORD&SENSE	3
leaving_12	1-WORD&SENSE	4
led_03	1-WORD&SENSE	11
left_01	1-WORD&SENSE	13
left_02	1-WORD&SENSE	5
left_04	1-WORD&SENSE	4
left_05	1-WORD&SENSE	3
left_06	1-WORD&SENSE	4
left_08	1-WORD&SENSE	5
left_12	1-WORD&SENSE	9
legal_04	1-WORD&SENSE	3
legal_05	1-WORD&SENSE	8
leg_01	1-WORD&SENSE	3
less_01	1-WORD&SENSE	14
less_02	1-WORD&SENSE	25
less_03	1-WORD&SENSE	22
letting_02	1-WORD&SENSE	4
let_01	1-WORD&SENSE	43
let_02	1-WORD&SENSE	39
let_03	1-WORD&SENSE	4
levels_07	1-WORD&SENSE	5
level_01	1-WORD&SENSE	3
level_02	1-WORD&SENSE	3
level_07	1-WORD&SENSE	8
liberals_02	1-WORD&SENSE	7
liberal_02	1-WORD&SENSE	6
lie_01	1-WORD&SENSE	3
life_01	1-WORD&SENSE	75
life_02	1-WORD&SENSE	28
life_03	1-WORD&SENSE	25
life_05	1-WORD&SENSE	27
life_06	1-WORD&SENSE	6
life_07	1-WORD&SENSE	4
life_08	1-WORD&SENSE	19
life_10	1-WORD&SENSE	6
life_11	1-WORD&SENSE	8
life_13	1-WORD&SENSE	10
light_01	1-WORD&SENSE	7
light_02	1-WORD&SENSE	3
liked_02	1-WORD&SENSE	3
like_01	1-WORD&SENSE	17
like_02	1-WORD&SENSE	466
like_04	1-WORD&SENSE	53
like_05	1-WORD&SENSE	6
line_01	1-WORD&SENSE	6
line_02	1-WORD&SENSE	6
line_03	1-WORD&SENSE	5
linked_02	1-WORD&SENSE	4
link_01	1-WORD&SENSE	3
listen_02	1-WORD&SENSE	9
list_04	1-WORD&SENSE	4
literally_01	1-WORD&SENSE	3
literally_02	1-WORD&SENSE	10
little_01	1-WORD&SENSE	34
little_02	1-WORD&SENSE	26
little_03	1-WORD&SENSE	17
little_08	1-WORD&SENSE	21
lived_01	1-WORD&SENSE	9
lived_05	1-WORD&SENSE	4
lived_07	1-WORD&SENSE	4
lives_01	1-WORD&SENSE	46
lives_02	1-WORD&SENSE	21
lives_03	1-WORD&SENSE	16
lives_05	1-WORD&SENSE	9
lives_06	1-WORD&SENSE	5
lives_07	1-WORD&SENSE	3
lives_08	1-WORD&SENSE	5
lives_10	1-WORD&SENSE	6
lives_11	1-WORD&SENSE	10
lives_13	1-WORD&SENSE	13
live_01	1-WORD&SENSE	59
live_02	1-WORD&SENSE	35
live_05	1-WORD&SENSE	23
live_07	1-WORD&SENSE	16
live_11	1-WORD&SENSE	4
living_01	1-WORD&SENSE	16
living_02	1-WORD&SENSE	13
living_05	1-WORD&SENSE	5
living_06	1-WORD&SENSE	14
living_07	1-WORD&SENSE	5
local_02	1-WORD&SENSE	4
local_03	1-WORD&SENSE	19
location_01	1-WORD&SENSE	3
longer_01	1-WORD&SENSE	26
long_01	1-WORD&SENSE	61
long_02	1-WORD&SENSE	25
long_03	1-WORD&SENSE	5
looked_02	1-WORD&SENSE	5
looking_02	1-WORD&SENSE	23
looking_09	1-WORD&SENSE	4
looks_02	1-WORD&SENSE	12
looks_03	1-WORD&SENSE	5
look_01	1-WORD&SENSE	4
look_02	1-WORD&SENSE	54
look_03	1-WORD&SENSE	7
look_09	1-WORD&SENSE	3
lose_01	1-WORD&SENSE	18
lose_03	1-WORD&SENSE	6
lose_06	1-WORD&SENSE	8
lose_07	1-WORD&SENSE	8
lose_08	1-WORD&SENSE	3
lose_11	1-WORD&SENSE	4
losing_01	1-WORD&SENSE	9
losing_03	1-WORD&SENSE	3
losing_07	1-WORD&SENSE	3
losing_11	1-WORD&SENSE	3
loss_02	1-WORD&SENSE	7
loss_03	1-WORD&SENSE	4
loss_05	1-WORD&SENSE	5
lost_01	1-WORD&SENSE	27
lost_03	1-WORD&SENSE	4
lost_05	1-WORD&SENSE	4
lost_06	1-WORD&SENSE	8
lost_07	1-WORD&SENSE	17
lost_08	1-WORD&SENSE	6
lost_11	1-WORD&SENSE	14
lots_05	1-WORD&SENSE	5
lot_02	1-WORD&SENSE	25
lot_04	1-WORD&SENSE	20
lot_05	1-WORD&SENSE	99
loved_01	1-WORD&SENSE	10
loved_02	1-WORD&SENSE	9
lover_01	1-WORD&SENSE	3
love_01	1-WORD&SENSE	35
love_02	1-WORD&SENSE	12
lower_01	1-WORD&SENSE	5
lower_02	1-WORD&SENSE	4
low_01	1-WORD&SENSE	10
lucky_01	1-WORD&SENSE	9
lying_05	1-WORD&SENSE	3
made_01	1-WORD&SENSE	7
made_02	1-WORD&SENSE	23
made_03	1-WORD&SENSE	20
made_08	1-WORD&SENSE	10
made_27	1-WORD&SENSE	3
made_35	1-WORD&SENSE	4
made_36	1-WORD&SENSE	3
made_43	1-WORD&SENSE	11
mad_01	1-WORD&SENSE	3
mad_02	1-WORD&SENSE	8
magazine_01	1-WORD&SENSE	4
main_03	1-WORD&SENSE	12
majority_01	1-WORD&SENSE	6
majority_03	1-WORD&SENSE	6
major_01	1-WORD&SENSE	3
major_04	1-WORD&SENSE	9
major_08	1-WORD&SENSE	14
makes_01	1-WORD&SENSE	14
makes_02	1-WORD&SENSE	28
makes_03	1-WORD&SENSE	14
makes_08	1-WORD&SENSE	17
makes_18	1-WORD&SENSE	5
makes_27	1-WORD&SENSE	6
makes_35	1-WORD&SENSE	8
makes_36	1-WORD&SENSE	3
makes_42	1-WORD&SENSE	6
makes_43	1-WORD&SENSE	40
makes_45	1-WORD&SENSE	4
makes_48	1-WORD&SENSE	4
make_01	1-WORD&SENSE	16
make_02	1-WORD&SENSE	48
make_03	1-WORD&SENSE	21
make_07	1-WORD&SENSE	4
make_08	1-WORD&SENSE	30
make_18	1-WORD&SENSE	6
make_27	1-WORD&SENSE	6
make_35	1-WORD&SENSE	6
make_36	1-WORD&SENSE	6
make_42	1-WORD&SENSE	3
make_43	1-WORD&SENSE	32
make_45	1-WORD&SENSE	4
making_02	1-WORD&SENSE	17
making_03	1-WORD&SENSE	8
making_08	1-WORD&SENSE	9
making_35	1-WORD&SENSE	3
making_43	1-WORD&SENSE	12
male_01	1-WORD&SENSE	3
manner_01	1-WORD&SENSE	4
manner_03	1-WORD&SENSE	3
man_01	1-WORD&SENSE	19
man_02	1-WORD&SENSE	3
man_03	1-WORD&SENSE	3
man_08	1-WORD&SENSE	83
man_10	1-WORD&SENSE	18
marriage_02	1-WORD&SENSE	3
massive_03	1-WORD&SENSE	3
massive_04	1-WORD&SENSE	11
mass_03	1-WORD&SENSE	15
mate_03	1-WORD&SENSE	5
matter_01	1-WORD&SENSE	10
matter_02	1-WORD&SENSE	32
matter_06	1-WORD&SENSE	9
meal_01	1-WORD&SENSE	5
means_01	1-WORD&SENSE	8
means_03	1-WORD&SENSE	3
means_04	1-WORD&SENSE	9
meant_01	1-WORD&SENSE	3
meant_04	1-WORD&SENSE	4
mean_01	1-WORD&SENSE	9
mean_03	1-WORD&SENSE	7
mean_04	1-WORD&SENSE	37
mean_05	1-WORD&SENSE	4
measures_01	1-WORD&SENSE	10
media_01	1-WORD&SENSE	3
media_02	1-WORD&SENSE	31
media_08	1-WORD&SENSE	4
medical_02	1-WORD&SENSE	15
medicine_03	1-WORD&SENSE	3
melting_09	1-WORD&SENSE	3
members_01	1-WORD&SENSE	16
members_04	1-WORD&SENSE	3
member_01	1-WORD&SENSE	12
memories_01	1-WORD&SENSE	3
mental_01	1-WORD&SENSE	9
mental_05	1-WORD&SENSE	24
mention_01	1-WORD&SENSE	8
mention_03	1-WORD&SENSE	3
message_02	1-WORD&SENSE	10
messed_02	1-WORD&SENSE	12
messing_02	1-WORD&SENSE	4
mess_01	1-WORD&SENSE	6
mess_02	1-WORD&SENSE	9
michigan_03	1-WORD&SENSE	3
middle_01	1-WORD&SENSE	4
middle_03	1-WORD&SENSE	9
middle_04	1-WORD&SENSE	39
miles_01	1-WORD&SENSE	4
miles_02	1-WORD&SENSE	5
military_01	1-WORD&SENSE	3
military_02	1-WORD&SENSE	5
military_03	1-WORD&SENSE	19
millions_01	1-WORD&SENSE	4
millions_02	1-WORD&SENSE	14
million_01	1-WORD&SENSE	18
minding_02	1-WORD&SENSE	3
minds_01	1-WORD&SENSE	3
mind_01	1-WORD&SENSE	12
mind_02	1-WORD&SENSE	3
mind_07	1-WORD&SENSE	3
mining_01	1-WORD&SENSE	3
minorities_03	1-WORD&SENSE	5
minor_10	1-WORD&SENSE	4
minutes_02	1-WORD&SENSE	3
miserable_01	1-WORD&SENSE	3
mission_04	1-WORD&SENSE	3
mistakes_02	1-WORD&SENSE	6
mistake_02	1-WORD&SENSE	5
mixed_01	1-WORD&SENSE	3
mixed_02	1-WORD&SENSE	3
mi_02	1-WORD&SENSE	3
modern_05	1-WORD&SENSE	5
moments_02	1-WORD&SENSE	3
moment_01	1-WORD&SENSE	3
moment_02	1-WORD&SENSE	5
moment_03	1-WORD&SENSE	3
moment_06	1-WORD&SENSE	9
money_01	1-WORD&SENSE	19
money_03	1-WORD&SENSE	68
months_02	1-WORD&SENSE	13
month_01	1-WORD&SENSE	4
month_02	1-WORD&SENSE	8
moore_06	1-WORD&SENSE	3
moral_01	1-WORD&SENSE	6
moral_02	1-WORD&SENSE	4
morning_01	1-WORD&SENSE	9
mothers_01	1-WORD&SENSE	6
mother_01	1-WORD&SENSE	29
mother_05	1-WORD&SENSE	11
motive_01	1-WORD&SENSE	7
moved_01	1-WORD&SENSE	3
moved_02	1-WORD&SENSE	4
movement_04	1-WORD&SENSE	3
move_01	1-WORD&SENSE	18
move_02	1-WORD&SENSE	3
move_06	1-WORD&SENSE	3
moving_01	1-WORD&SENSE	11
much_01	1-WORD&SENSE	179
much_04	1-WORD&SENSE	28
much_05	1-WORD&SENSE	30
music_05	1-WORD&SENSE	13
named_01	1-WORD&SENSE	3
named_03	1-WORD&SENSE	3
name_01	1-WORD&SENSE	4
name_03	1-WORD&SENSE	4
name_04	1-WORD&SENSE	3
nasty_01	1-WORD&SENSE	3
nasty_02	1-WORD&SENSE	4
national_04	1-WORD&SENSE	3
national_06	1-WORD&SENSE	3
nation_04	1-WORD&SENSE	24
native_01	1-WORD&SENSE	3
native_03	1-WORD&SENSE	12
natural_04	1-WORD&SENSE	13
natural_06	1-WORD&SENSE	6
natural_07	1-WORD&SENSE	5
natural_09	1-WORD&SENSE	9
nature_02	1-WORD&SENSE	3
nature_04	1-WORD&SENSE	7
nature_05	1-WORD&SENSE	11
nearly_03	1-WORD&SENSE	3
nearly_07	1-WORD&SENSE	10
near_01	1-WORD&SENSE	24
near_02	1-WORD&SENSE	3
near_03	1-WORD&SENSE	5
near_07	1-WORD&SENSE	7
necessarily_03	1-WORD&SENSE	6
necessary_01	1-WORD&SENSE	6
necessary_02	1-WORD&SENSE	7
needed_01	1-WORD&SENSE	10
needed_02	1-WORD&SENSE	6
needed_03	1-WORD&SENSE	3
needs_01	1-WORD&SENSE	22
needs_02	1-WORD&SENSE	56
needs_03	1-WORD&SENSE	10
need_01	1-WORD&SENSE	75
need_02	1-WORD&SENSE	98
need_03	1-WORD&SENSE	52
negative_01	1-WORD&SENSE	3
negative_03	1-WORD&SENSE	5
negative_08	1-WORD&SENSE	7
nerve_03	1-WORD&SENSE	3
never_01	1-WORD&SENSE	50
never_02	1-WORD&SENSE	110
newspaper_04	1-WORD&SENSE	3
news_01	1-WORD&SENSE	65
news_02	1-WORD&SENSE	11
news_04	1-WORD&SENSE	23
new_01	1-WORD&SENSE	29
new_05	1-WORD&SENSE	19
new_06	1-WORD&SENSE	5
new_08	1-WORD&SENSE	6
new_11	1-WORD&SENSE	3
new_12	1-WORD&SENSE	9
next_01	1-WORD&SENSE	5
next_02	1-WORD&SENSE	14
next_03	1-WORD&SENSE	21
nice_03	1-WORD&SENSE	9
nice_04	1-WORD&SENSE	5
night_04	1-WORD&SENSE	3
night_07	1-WORD&SENSE	5
normal_03	1-WORD&SENSE	4
normal_04	1-WORD&SENSE	9
north_02	1-WORD&SENSE	11
north_04	1-WORD&SENSE	4
noticed_04	1-WORD&SENSE	7
notice_01	1-WORD&SENSE	4
numbers_01	1-WORD&SENSE	5
numbers_04	1-WORD&SENSE	4
number_01	1-WORD&SENSE	10
number_04	1-WORD&SENSE	5
number_07	1-WORD&SENSE	10
numb_03	1-WORD&SENSE	3
occurred_02	1-WORD&SENSE	3
occurred_03	1-WORD&SENSE	4
occurrence_01	1-WORD&SENSE	3
occurrence_02	1-WORD&SENSE	3
odds_02	1-WORD&SENSE	3
odd_01	1-WORD&SENSE	4
offer_02	1-WORD&SENSE	6
officers_01	1-WORD&SENSE	24
officer_01	1-WORD&SENSE	20
officer_04	1-WORD&SENSE	3
office_01	1-WORD&SENSE	5
office_03	1-WORD&SENSE	5
office_04	1-WORD&SENSE	8
office_06	1-WORD&SENSE	5
officials_01	1-WORD&SENSE	3
officials_02	1-WORD&SENSE	10
often_01	1-WORD&SENSE	5
often_03	1-WORD&SENSE	24
often_05	1-WORD&SENSE	21
oil_01	1-WORD&SENSE	23
older_01	1-WORD&SENSE	12
old_01	1-WORD&SENSE	39
old_03	1-WORD&SENSE	9
old_04	1-WORD&SENSE	3
old_07	1-WORD&SENSE	15
ones_01	1-WORD&SENSE	17
ones_02	1-WORD&SENSE	35
one_01	1-WORD&SENSE	111
one_02	1-WORD&SENSE	61
one_03	1-WORD&SENSE	16
one_04	1-WORD&SENSE	7
one_05	1-WORD&SENSE	96
one_06	1-WORD&SENSE	71
online_03	1-WORD&SENSE	13
opening_04	1-WORD&SENSE	3
open_02	1-WORD&SENSE	4
open_05	1-WORD&SENSE	7
open_09	1-WORD&SENSE	8
open_10	1-WORD&SENSE	4
opinions_01	1-WORD&SENSE	5
opinion_01	1-WORD&SENSE	19
opinion_02	1-WORD&SENSE	5
opposition_01	1-WORD&SENSE	4
ordeal_02	1-WORD&SENSE	4
ordered_02	1-WORD&SENSE	3
order_01	1-WORD&SENSE	6
order_02	1-WORD&SENSE	9
order_13	1-WORD&SENSE	9
order_14	1-WORD&SENSE	3
ordinary_01	1-WORD&SENSE	3
organizations_05	1-WORD&SENSE	3
organizations_06	1-WORD&SENSE	4
organization_01	1-WORD&SENSE	3
organization_02	1-WORD&SENSE	3
organization_05	1-WORD&SENSE	5
organization_06	1-WORD&SENSE	5
outcome_01	1-WORD&SENSE	4
outside_01	1-WORD&SENSE	5
outside_02	1-WORD&SENSE	5
outside_03	1-WORD&SENSE	4
outside_09	1-WORD&SENSE	4
overall_02	1-WORD&SENSE	10
owners_02	1-WORD&SENSE	8
owner_02	1-WORD&SENSE	4
paid_01	1-WORD&SENSE	3
paid_05	1-WORD&SENSE	4
paid_07	1-WORD&SENSE	3
paid_10	1-WORD&SENSE	5
painful_01	1-WORD&SENSE	4
painful_02	1-WORD&SENSE	3
pain_02	1-WORD&SENSE	15
pain_04	1-WORD&SENSE	10
paper_01	1-WORD&SENSE	3
parents_01	1-WORD&SENSE	39
parents_02	1-WORD&SENSE	14
parent_01	1-WORD&SENSE	11
paris_04	1-WORD&SENSE	15
parks_02	1-WORD&SENSE	3
parks_06	1-WORD&SENSE	3
park_01	1-WORD&SENSE	10
park_02	1-WORD&SENSE	4
park_06	1-WORD&SENSE	3
particularly_01	1-WORD&SENSE	14
particularly_02	1-WORD&SENSE	4
particular_02	1-WORD&SENSE	7
particular_04	1-WORD&SENSE	3
parties_05	1-WORD&SENSE	3
parts_01	1-WORD&SENSE	9
party_04	1-WORD&SENSE	5
party_05	1-WORD&SENSE	7
part_01	1-WORD&SENSE	28
part_03	1-WORD&SENSE	8
part_09	1-WORD&SENSE	14
part_10	1-WORD&SENSE	3
past_01	1-WORD&SENSE	19
past_02	1-WORD&SENSE	14
past_03	1-WORD&SENSE	3
pathetic_03	1-WORD&SENSE	4
paying_01	1-WORD&SENSE	3
paying_05	1-WORD&SENSE	5
paying_10	1-WORD&SENSE	6
pay_01	1-WORD&SENSE	9
pay_10	1-WORD&SENSE	12
peaceful_01	1-WORD&SENSE	11
peace_01	1-WORD&SENSE	4
peace_02	1-WORD&SENSE	6
peace_04	1-WORD&SENSE	7
penalty_01	1-WORD&SENSE	3
peoples_01	1-WORD&SENSE	6
peoples_03	1-WORD&SENSE	5
people_01	1-WORD&SENSE	571
people_03	1-WORD&SENSE	277
perfect_03	1-WORD&SENSE	4
perform_03	1-WORD&SENSE	3
period_01	1-WORD&SENSE	9
personally_01	1-WORD&SENSE	4
personally_05	1-WORD&SENSE	3
personal_01	1-WORD&SENSE	9
personal_04	1-WORD&SENSE	6
person_01	1-WORD&SENSE	117
person_03	1-WORD&SENSE	13
perspective_03	1-WORD&SENSE	4
